n,p_approx,theta_rad,theta_deg
1004410000,20819075149.074425,2.347075680850012,134.47753071049988
1004420000,20819292425.78562,2.3472119485912892,134.48533827695883
1004430000,20819509702.596375,2.3473482149729112,134.4931457655153
1004440000,20819726979.506687,2.347484479994834,134.50095317616672
1004450000,20819944256.51656,2.3476207436571466,134.50876050891821
1004460000,20820161533.625988,2.3477570059598487,134.51656776376979
1004470000,20820378810.834972,2.347893266902985,134.524374940724
1004480000,20820596088.143513,2.3480295264865565,134.53218203978082
1004490000,20820813365.551605,2.3481657847106066,134.53998906094284
1004500000,20821030643.05925,2.3483020415751805,134.5477960042126
1004510000,20821247920.666447,2.3484382970802335,134.55560286958757
1004520000,20821465198.373196,2.3485745512258993,134.5634096570754
1004530000,20821682476.179497,2.348710804012134,134.57121636667353
1004540000,20821899754.085342,2.348847055438981,134.57902299838452
1004550000,20822117032.09074,2.3489833055064415,134.58682955220837
1004560000,20822334310.195683,2.3491195542146044,134.5946360281502
1004570000,20822551588.40017,2.349255801563425,134.60244242620746
1004580000,20822768866.70421,2.349392047552992,134.61024874638525
1004590000,20822986145.107784,2.3495282921833063,134.61805498868358
1004600000,20823203423.610905,2.3496645354543677,134.62586115310245
1004610000,20823420702.213573,2.3498007773662204,134.6336672396444
1004620000,20823637980.915775,2.349937017918954,134.64147324831458
1004630000,20823855259.71752,2.3500732571125242,134.6492791791104
1004640000,20824072538.618805,2.350209494946975,134.65708503203444
1004650000,20824289817.619625,2.3503457314223515,134.66489080708925
1004660000,20824507096.719986,2.3504819665386534,134.67269650427482
1004670000,20824724375.91988,2.3506182002958806,134.68050212359117
1004680000,20824941655.219315,2.350754432694123,134.6883076650434
1004690000,20825158934.61828,2.3508906637333804,134.6961131286315
1004700000,20825376214.11677,2.351026893413697,134.70391851435807
1004710000,20825593493.714806,2.3511631217351177,134.71172382222562
